[2018-10-01 15:59:28,707] [WARNING] warning again
[2018-10-01 16:00:31,528] [INFO] --------------socketClient.py start listening--------------
[2018-10-01 16:16:35,070] [DEBUG] --------------socketClient.py start listening--------------
[2018-10-01 16:16:36,072] [DEBUG] --------start loop--------
[2018-10-01 16:16:36,072] [DEBUG] init database
[2018-10-01 16:16:37,107] [DEBUG] --------start loop--------
[2018-10-01 16:16:37,107] [DEBUG] init database
[2018-10-01 16:26:16,647] [DEBUG] --------------socketClient.py start listening--------------
[2018-10-01 16:26:17,647] [DEBUG] --------start loop--------
[2018-10-01 16:26:17,648] [DEBUG] initializing dbClass
[2018-10-01 16:26:17,648] [ERROR] division by zero
[2018-10-01 16:26:17,652] [ERROR] error occurred while initializing dbClass
[2018-10-01 16:26:17,652] [ERROR] division by zero
[2018-10-01 16:26:18,653] [DEBUG] --------start loop--------
[2018-10-01 16:26:18,653] [DEBUG] initializing dbClass
[2018-10-01 16:26:18,653] [ERROR] division by zero
[2018-10-01 16:26:18,653] [ERROR] error occurred while initializing dbClass
[2018-10-01 16:26:18,653] [ERROR] division by zero
[2018-10-01 16:26:19,654] [DEBUG] --------start loop--------
[2018-10-01 16:26:19,655] [DEBUG] initializing dbClass
[2018-10-01 16:26:19,655] [ERROR] division by zero
[2018-10-01 16:26:19,655] [ERROR] error occurred while initializing dbClass
[2018-10-01 16:26:19,655] [ERROR] division by zero
[2018-10-01 16:26:20,656] [DEBUG] --------start loop--------
[2018-10-01 16:26:20,656] [DEBUG] initializing dbClass
[2018-10-01 16:26:20,656] [ERROR] division by zero
[2018-10-01 16:26:20,656] [ERROR] error occurred while initializing dbClass
[2018-10-01 16:26:20,656] [ERROR] division by zero
[2018-10-01 16:26:21,657] [DEBUG] --------start loop--------
[2018-10-01 16:26:21,657] [DEBUG] initializing dbClass
[2018-10-01 16:26:21,657] [ERROR] division by zero
[2018-10-01 16:26:21,657] [ERROR] error occurred while initializing dbClass
[2018-10-01 16:26:21,657] [ERROR] division by zero
[2018-10-01 16:26:22,658] [DEBUG] --------start loop--------
[2018-10-01 16:26:22,658] [DEBUG] initializing dbClass
[2018-10-01 16:26:22,658] [ERROR] division by zero
[2018-10-01 16:26:22,659] [ERROR] error occurred while initializing dbClass
[2018-10-01 16:26:22,659] [ERROR] division by zero
[2018-10-01 16:26:23,660] [DEBUG] --------start loop--------
[2018-10-01 16:26:23,660] [DEBUG] initializing dbClass
[2018-10-01 16:26:23,660] [ERROR] division by zero
[2018-10-01 16:26:23,660] [ERROR] error occurred while initializing dbClass
[2018-10-01 16:26:23,660] [ERROR] division by zero
[2018-10-01 16:26:24,661] [DEBUG] --------start loop--------
[2018-10-01 16:26:24,661] [DEBUG] initializing dbClass
[2018-10-01 16:26:24,661] [ERROR] division by zero
[2018-10-01 16:26:24,661] [ERROR] error occurred while initializing dbClass
[2018-10-01 16:26:24,661] [ERROR] division by zero
[2018-10-01 16:26:25,662] [DEBUG] --------start loop--------
[2018-10-01 16:26:25,662] [DEBUG] initializing dbClass
[2018-10-01 16:26:25,662] [ERROR] division by zero
[2018-10-01 16:26:25,662] [ERROR] error occurred while initializing dbClass
[2018-10-01 16:26:25,662] [ERROR] division by zero
[2018-10-01 16:26:26,663] [DEBUG] --------start loop--------
[2018-10-01 16:26:26,663] [DEBUG] initializing dbClass
[2018-10-01 16:26:26,663] [ERROR] division by zero
[2018-10-01 16:26:26,663] [ERROR] error occurred while initializing dbClass
[2018-10-01 16:26:26,664] [ERROR] division by zero
[2018-10-01 16:26:27,664] [DEBUG] --------start loop--------
[2018-10-01 16:26:27,664] [DEBUG] initializing dbClass
[2018-10-01 16:26:27,664] [ERROR] division by zero
[2018-10-01 16:26:27,664] [ERROR] error occurred while initializing dbClass
[2018-10-01 16:26:27,664] [ERROR] division by zero
[2018-10-01 16:26:28,665] [DEBUG] --------start loop--------
[2018-10-01 16:26:28,665] [DEBUG] initializing dbClass
[2018-10-01 16:26:28,665] [ERROR] division by zero
[2018-10-01 16:26:28,665] [ERROR] error occurred while initializing dbClass
[2018-10-01 16:26:28,666] [ERROR] division by zero
[2018-10-01 16:26:29,666] [DEBUG] --------start loop--------
[2018-10-01 16:26:29,666] [DEBUG] initializing dbClass
[2018-10-01 16:26:29,666] [ERROR] division by zero
[2018-10-01 16:26:29,666] [ERROR] error occurred while initializing dbClass
[2018-10-01 16:26:29,666] [ERROR] division by zero
[2018-10-01 16:26:30,667] [DEBUG] --------start loop--------
[2018-10-01 16:26:30,667] [DEBUG] initializing dbClass
[2018-10-01 16:26:30,667] [ERROR] division by zero
[2018-10-01 16:26:30,667] [ERROR] error occurred while initializing dbClass
[2018-10-01 16:26:30,667] [ERROR] division by zero
[2018-10-01 16:26:31,668] [DEBUG] --------start loop--------
[2018-10-01 16:26:31,668] [DEBUG] initializing dbClass
[2018-10-01 16:26:31,668] [ERROR] division by zero
[2018-10-01 16:26:31,669] [ERROR] error occurred while initializing dbClass
[2018-10-01 16:26:31,669] [ERROR] division by zero
[2018-10-01 16:26:53,876] [DEBUG] --------------socketClient.py start listening--------------
[2018-10-01 16:26:54,877] [DEBUG] --------start loop--------
[2018-10-01 16:26:54,877] [DEBUG] initializing dbClass
[2018-10-01 16:26:54,877] [ERROR] division by zero
[2018-10-01 16:26:54,878] [ERROR] error occurred while initializing dbClass
[2018-10-01 16:26:54,878] [ERROR] division by zero
[2018-10-01 16:45:53,627] [DEBUG] --------------socketClient.py start listening--------------
[2018-10-01 16:45:54,628] [DEBUG] --------start loop--------
[2018-10-01 16:45:54,628] [DEBUG] initializing dbClass
[2018-10-01 16:45:55,663] [DEBUG] --------start loop--------
[2018-10-01 16:45:55,663] [DEBUG] initializing dbClass
[2018-10-01 16:45:56,693] [DEBUG] --------start loop--------
[2018-10-01 16:45:56,693] [DEBUG] initializing dbClass
[2018-10-01 16:45:57,725] [DEBUG] --------start loop--------
[2018-10-01 16:45:57,726] [DEBUG] initializing dbClass
[2018-10-01 16:45:58,756] [DEBUG] --------start loop--------
[2018-10-01 16:45:58,756] [DEBUG] initializing dbClass
[2018-10-01 16:45:59,785] [DEBUG] --------start loop--------
[2018-10-01 16:45:59,785] [DEBUG] initializing dbClass
[2018-10-01 16:46:00,815] [DEBUG] --------start loop--------
[2018-10-01 16:46:00,815] [DEBUG] initializing dbClass
[2018-10-01 16:46:01,844] [DEBUG] --------start loop--------
[2018-10-01 16:46:01,845] [DEBUG] initializing dbClass
[2018-10-01 16:46:02,876] [DEBUG] --------start loop--------
[2018-10-01 16:46:02,876] [DEBUG] initializing dbClass
